EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:11:34	0	0.1000	0.2683274825368568	0.08808539807796478	0.8375	0.8255	0.8315	0.7796
2	18:13:13	0	0.1000	0.13702986767381684	0.06609956175088882	0.8584	0.8617	0.8601	0.8199
3	18:14:52	0	0.1000	0.12153320897290833	0.05724889039993286	0.8897	0.8805	0.8851	0.8453
4	18:16:30	1	0.1000	0.11075738167862638	0.05531641095876694	0.8897	0.8756	0.8826	0.8443
5	18:17:54	0	0.1000	0.10734904526905457	0.05165029317140579	0.9015	0.8905	0.896	0.8604
6	18:19:33	1	0.1000	0.10404432693267594	0.05000309273600578	0.8996	0.8912	0.8954	0.8607
7	18:20:55	0	0.1000	0.10144882919337704	0.048375580459833145	0.9051	0.8988	0.902	0.8687
8	18:22:33	1	0.1000	0.09847874398462668	0.04745594412088394	0.9078	0.8956	0.9017	0.8671
9	18:23:58	2	0.1000	0.09785622041865409	0.047285325825214386	0.9043	0.8938	0.899	0.8646
10	18:25:20	3	0.1000	0.09583867533791648	0.047431983053684235	0.9015	0.9007	0.9011	0.8693
11	18:26:44	0	0.1000	0.09465489160966364	0.0459427610039711	0.9061	0.898	0.9021	0.869
12	18:28:25	0	0.1000	0.09467728850182641	0.04573468118906021	0.9085	0.8997	0.9041	0.8703
13	18:30:07	1	0.1000	0.09322732588833976	0.0470174141228199	0.9075	0.8963	0.9019	0.8666
14	18:31:29	0	0.1000	0.09270906038348682	0.04471178725361824	0.9112	0.9002	0.9057	0.8734
15	18:33:07	1	0.1000	0.09329720003867926	0.044669561088085175	0.9078	0.9026	0.9052	0.8737
16	18:34:28	2	0.1000	0.08926402417209277	0.04494780674576759	0.9077	0.8995	0.9036	0.8719
17	18:35:52	3	0.1000	0.09051836112412132	0.045490387827157974	0.9093	0.9017	0.9055	0.8742
18	18:37:14	4	0.1000	0.08855188200775144	0.046070490032434464	0.9009	0.8995	0.9002	0.8676
19	18:38:38	0	0.0500	0.08534446600357401	0.04412120580673218	0.9116	0.9019	0.9067	0.8752
20	18:40:22	0	0.0500	0.08227892323900911	0.042959410697221756	0.9142	0.9048	0.9095	0.8784
21	18:42:07	0	0.0500	0.082270156150323	0.04175308719277382	0.9124	0.9066	0.9095	0.8778
22	18:43:47	1	0.0500	0.08156205739688129	0.0433015376329422	0.9118	0.9053	0.9085	0.8763
23	18:45:09	2	0.0500	0.08276686554901634	0.04283339902758598	0.909	0.9036	0.9063	0.8758
24	18:46:31	3	0.0500	0.08029197345987195	0.04340789467096329	0.9119	0.9046	0.9082	0.8777
25	18:47:56	4	0.0500	0.07965640070417791	0.04159598797559738	0.9103	0.9043	0.9073	0.8761
26	18:49:18	0	0.0250	0.07877545090858068	0.041816554963588715	0.9141	0.907	0.9105	0.8803
27	18:50:58	1	0.0250	0.0783039674768841	0.04189031571149826	0.9133	0.9068	0.91	0.88
28	18:52:21	0	0.0250	0.07691210741296708	0.040850117802619934	0.913	0.9082	0.9106	0.8811
29	18:54:03	1	0.0250	0.07648854997690244	0.04146616905927658	0.9092	0.9038	0.9064	0.8761
30	18:55:25	2	0.0250	0.0772557728736948	0.04223552346229553	0.9126	0.9038	0.9081	0.8772
31	18:56:47	3	0.0250	0.07653865998727648	0.041811130940914154	0.9129	0.9056	0.9092	0.878
32	18:58:09	0	0.0250	0.07627364590990512	0.04142173007130623	0.916	0.9068	0.9114	0.8808
33	18:59:51	1	0.0250	0.07635699590858375	0.04208487272262573	0.9147	0.9066	0.9107	0.8792
34	19:01:13	0	0.0250	0.07664442955368077	0.04171972721815109	0.9172	0.9063	0.9117	0.8811
35	19:03:12	1	0.0250	0.07644061264348906	0.04080595821142197	0.9122	0.9083	0.9103	0.8804
36	19:04:49	2	0.0250	0.0750839158136454	0.041694119572639465	0.9142	0.9043	0.9092	0.8782
37	19:06:19	3	0.0250	0.07516328923466242	0.04142797738313675	0.9144	0.9073	0.9109	0.8809
38	19:07:41	4	0.0250	0.07544087094440635	0.04148420691490173	0.9141	0.9072	0.9106	0.8802
39	19:09:03	1	0.0125	0.07528983260030638	0.04112567380070686	0.9135	0.9068	0.9101	0.8795
40	19:10:25	0	0.0125	0.07507788888771771	0.04099578782916069	0.915	0.9105	0.9128	0.8837
41	19:12:06	1	0.0125	0.07369855170177284	0.040943924337625504	0.9149	0.909	0.9119	0.8824
42	19:13:27	2	0.0125	0.07368214115821467	0.04082388058304787	0.9133	0.908	0.9106	0.881
43	19:14:49	3	0.0125	0.07557465616876897	0.04096996784210205	0.9131	0.9061	0.9096	0.8795
44	19:16:11	4	0.0125	0.07386559541292553	0.040449630469083786	0.9141	0.9085	0.9113	0.8816
45	19:17:36	1	0.0063	0.07405456340977222	0.040654513984918594	0.9153	0.9083	0.9118	0.8816
46	19:18:58	2	0.0063	0.07383865744093011	0.04060819745063782	0.915	0.908	0.9115	0.882
47	19:20:21	3	0.0063	0.0730758956627749	0.040732286870479584	0.9156	0.9085	0.9121	0.8818
48	19:21:43	4	0.0063	0.07325365178722008	0.040675509721040726	0.9149	0.9085	0.9117	0.8823
49	19:23:08	1	0.0031	0.07237738747898763	0.04059721529483795	0.9152	0.9085	0.9118	0.8821
50	19:24:30	2	0.0031	0.07334305496774131	0.040632955729961395	0.9145	0.908	0.9112	0.8816
51	19:25:52	3	0.0031	0.0738152264237542	0.040747303515672684	0.9156	0.908	0.9118	0.8818
52	19:27:15	4	0.0031	0.0725540283237735	0.04065658524632454	0.9145	0.9075	0.911	0.8811
53	19:28:42	1	0.0016	0.07287084711148273	0.040612466633319855	0.9138	0.9072	0.9105	0.8806
54	19:30:06	2	0.0016	0.07213531570073925	0.04058140888810158	0.9153	0.9087	0.912	0.8824
55	19:31:30	3	0.0016	0.0728290256160726	0.04062137007713318	0.9145	0.9077	0.9111	0.8812
56	19:32:55	4	0.0016	0.07161842326089221	0.04058706760406494	0.915	0.9083	0.9117	0.8819
57	19:34:19	1	0.0008	0.07277028337693915	0.04059917479753494	0.915	0.9078	0.9114	0.8812
58	19:35:45	2	0.0008	0.07195592514558953	0.04055827856063843	0.9155	0.9085	0.912	0.8825
59	19:37:06	3	0.0008	0.07288984386266174	0.04055500030517578	0.9153	0.9083	0.9118	0.8822
60	19:38:27	4	0.0008	0.07242383836958062	0.040506888180971146	0.9152	0.9083	0.9117	0.8822
61	19:39:49	1	0.0004	0.07119339310668998	0.04051555320620537	0.9148	0.908	0.9114	0.8818
62	19:41:14	2	0.0004	0.07368064576451419	0.04052107781171799	0.9153	0.9087	0.912	0.8824
63	19:42:36	3	0.0004	0.07370512105103401	0.04054351523518562	0.9153	0.9087	0.912	0.8822
64	19:43:57	4	0.0004	0.07219573831842838	0.04056977108120918	0.9151	0.9082	0.9116	0.8817
65	19:45:19	1	0.0002	0.07383638033703506	0.040547821670770645	0.9152	0.9083	0.9117	0.8819
66	19:46:44	2	0.0002	0.07307024467381103	0.040570225566625595	0.9151	0.9082	0.9116	0.8817
67	19:48:06	3	0.0002	0.07279369947598159	0.04057176411151886	0.9151	0.9082	0.9116	0.8817
68	19:49:28	4	0.0002	0.07285997895287669	0.04056239500641823	0.9151	0.9082	0.9116	0.8817
