EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:36:20	0	0.1000	0.25862476730576045	0.0984862744808197	0.8562	0.8362	0.846	0.7831
2	14:37:25	0	0.1000	0.15112405892117559	0.06854970008134842	0.8965	0.8758	0.886	0.8397
3	14:38:28	0	0.1000	0.13093621233832467	0.05970718339085579	0.8895	0.8904	0.8899	0.8484
4	14:39:32	0	0.1000	0.12188110700646823	0.05398470163345337	0.8987	0.8985	0.8986	0.8613
5	14:40:34	0	0.1000	0.11363605632281386	0.051803722977638245	0.9026	0.9031	0.9029	0.8647
6	14:41:36	1	0.1000	0.11079549810640432	0.04941082373261452	0.9013	0.9016	0.9014	0.8649
7	14:42:32	0	0.1000	0.10744562586195781	0.04649726301431656	0.9098	0.9072	0.9085	0.872
8	14:43:34	0	0.1000	0.10481732165531342	0.047219350934028625	0.9097	0.911	0.9104	0.875
9	14:44:39	0	0.1000	0.10295938986180261	0.0462966188788414	0.911	0.9107	0.9109	0.8776
10	14:45:41	1	0.1000	0.10138682047973585	0.04645449295639992	0.911	0.9056	0.9083	0.8737
11	14:46:35	0	0.1000	0.10162440965723485	0.044266343116760254	0.913	0.9134	0.9132	0.878
12	14:47:39	1	0.1000	0.09957361265368589	0.04533545300364494	0.9132	0.9109	0.912	0.8774
13	14:48:34	2	0.1000	0.09631345209676108	0.04627004638314247	0.9122	0.9066	0.9094	0.8743
14	14:49:31	0	0.1000	0.09708307144251639	0.04527479037642479	0.9194	0.9127	0.9161	0.8833
15	14:50:35	1	0.1000	0.09641866491842373	0.04537922888994217	0.9158	0.9109	0.9134	0.8793
16	14:51:29	2	0.1000	0.09391870320432151	0.04288365691900253	0.9103	0.9132	0.9118	0.8806
17	14:52:25	3	0.1000	0.09348529323617844	0.04363085702061653	0.9098	0.9095	0.9097	0.876
18	14:53:18	4	0.1000	0.0941194541397195	0.045463062822818756	0.9108	0.9097	0.9102	0.8754
19	14:54:14	0	0.0500	0.08585640502637888	0.04072677716612816	0.9204	0.9187	0.9195	0.8887
20	14:55:15	1	0.0500	0.08315109639831479	0.04130356386303902	0.9162	0.9134	0.9148	0.8828
21	14:56:08	2	0.0500	0.0811377707624519	0.039826784282922745	0.9205	0.9182	0.9193	0.8888
22	14:57:03	3	0.0500	0.08097764488815859	0.04227712005376816	0.9219	0.9122	0.917	0.8841
23	14:57:56	4	0.0500	0.08164565503657573	0.0412912480533123	0.9229	0.9149	0.9189	0.8876
24	14:58:51	1	0.0250	0.07798824964742603	0.03996627777814865	0.9202	0.9158	0.918	0.8853
25	14:59:44	0	0.0250	0.07679617442058256	0.03966895118355751	0.9254	0.9185	0.9219	0.8901
26	15:00:47	1	0.0250	0.07694704210123547	0.03958709537982941	0.9231	0.9168	0.9199	0.8884
27	15:01:40	2	0.0250	0.07479091651130804	0.04034262150526047	0.9222	0.916	0.9191	0.8865
28	15:02:33	3	0.0250	0.07456387743780919	0.0401393324136734	0.9226	0.9144	0.9185	0.8868
29	15:03:27	4	0.0250	0.07596578098591324	0.04014670103788376	0.9239	0.9153	0.9196	0.8867
30	15:04:20	1	0.0125	0.07377671436707625	0.038596756756305695	0.9238	0.9187	0.9212	0.8908
31	15:05:15	0	0.0125	0.07230956666054092	0.03883448988199234	0.9253	0.9188	0.922	0.8902
32	15:06:33	0	0.0125	0.07238171552787412	0.03811797499656677	0.9245	0.9197	0.9221	0.8912
