EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:46:58	0	0.1000	0.24186537468302904	0.07069690525531769	0.8849	0.8973	0.8911	0.8465
2	11:47:53	0	0.1000	0.09294109583825226	0.04569769278168678	0.9252	0.9268	0.926	0.8935
3	11:48:46	0	0.1000	0.07249439517370837	0.040159884840250015	0.9324	0.9327	0.9326	0.9023
4	11:49:39	1	0.1000	0.06228418413668413	0.038905221968889236	0.9258	0.9338	0.9297	0.9042
5	11:50:32	0	0.1000	0.05457600903104179	0.03232434019446373	0.9376	0.9444	0.941	0.9142
6	11:51:25	0	0.1000	0.049433736773129344	0.03283962607383728	0.9366	0.948	0.9422	0.9169
7	11:52:18	0	0.1000	0.04571578226051856	0.029652521014213562	0.9426	0.9495	0.9461	0.9207
8	11:53:13	0	0.1000	0.042954793787762686	0.029119234532117844	0.9468	0.9524	0.9496	0.9257
9	11:54:06	1	0.1000	0.04033345217237812	0.028240308165550232	0.9476	0.95	0.9488	0.9248
10	11:54:59	0	0.1000	0.037903579429737565	0.027630366384983063	0.949	0.9551	0.952	0.9293
11	11:55:53	0	0.1000	0.03640639495651944	0.027124354615807533	0.9521	0.9522	0.9521	0.9295
12	11:56:46	0	0.1000	0.034323341964750544	0.028251098468899727	0.9502	0.9576	0.9539	0.9328
13	11:57:41	1	0.1000	0.03355723434761747	0.02893446385860443	0.9454	0.951	0.9482	0.9233
14	11:58:32	2	0.1000	0.03171041775700321	0.03006722591817379	0.9484	0.9507	0.9496	0.9261
15	11:59:23	0	0.1000	0.03033879205261907	0.026779241859912872	0.9531	0.9548	0.954	0.9329
16	12:00:18	1	0.1000	0.02903654879689478	0.02819295972585678	0.9495	0.9519	0.9507	0.9294
17	12:01:09	0	0.1000	0.029022004810198187	0.026878103613853455	0.9527	0.9554	0.9541	0.9318
18	12:02:04	1	0.1000	0.028057243150509673	0.0277680903673172	0.9477	0.9539	0.9508	0.9286
19	12:02:55	2	0.1000	0.02715495206987503	0.02787434309720993	0.948	0.9541	0.951	0.9286
20	12:03:46	3	0.1000	0.026547724961252	0.028245965018868446	0.9504	0.9551	0.9528	0.9302
21	12:04:39	4	0.1000	0.025879856236740287	0.02840851992368698	0.9493	0.9546	0.9519	0.9286
22	12:05:30	0	0.0500	0.022368698083940715	0.027978133410215378	0.9537	0.957	0.9553	0.9336
23	12:06:25	0	0.0500	0.021930723166951414	0.02714744582772255	0.9547	0.9571	0.9559	0.934
24	12:07:18	1	0.0500	0.020967362618359756	0.02821315824985504	0.9533	0.9573	0.9553	0.9345
25	12:08:09	2	0.0500	0.019929203741928074	0.02916594408452511	0.9507	0.9566	0.9536	0.9315
26	12:09:02	3	0.0500	0.019814411688392434	0.02810540981590748	0.9544	0.9568	0.9556	0.9345
27	12:09:53	0	0.0500	0.018444898391709683	0.028221337124705315	0.9557	0.9578	0.9568	0.935
28	12:10:47	1	0.0500	0.018376525005598717	0.028453810140490532	0.9541	0.9575	0.9558	0.9345
29	12:11:39	2	0.0500	0.01818588856470313	0.03001370094716549	0.9512	0.9578	0.9545	0.9336
30	12:12:30	3	0.0500	0.018069774167815435	0.030242130160331726	0.9531	0.9568	0.9549	0.9328
31	12:13:22	4	0.0500	0.017712161445730495	0.03054812364280224	0.9533	0.958	0.9556	0.9338
32	12:14:13	1	0.0250	0.0172744669896507	0.029899941757321358	0.9535	0.9583	0.9559	0.9349
33	12:15:04	2	0.0250	0.015804029536319396	0.03000192902982235	0.9544	0.9583	0.9564	0.9352
34	12:15:57	3	0.0250	0.015106896804439376	0.03077802062034607	0.9521	0.9571	0.9546	0.9331
35	12:16:48	4	0.0250	0.01543876082813027	0.0296213086694479	0.9523	0.9573	0.9548	0.9331
36	12:17:39	1	0.0125	0.014037314371636187	0.029774188995361328	0.952	0.957	0.9545	0.9329
37	12:18:32	2	0.0125	0.014311884408592294	0.030006837099790573	0.9525	0.9573	0.9549	0.9337
38	12:19:23	3	0.0125	0.013967131714296232	0.029727432876825333	0.9535	0.9583	0.9559	0.9349
39	12:20:15	4	0.0125	0.013624946132410163	0.03021436557173729	0.9525	0.958	0.9552	0.9341
40	12:21:06	1	0.0063	0.014220579464414471	0.03003290481865406	0.9533	0.9585	0.9559	0.9349
41	12:21:57	2	0.0063	0.013027807262374614	0.030482277274131775	0.9533	0.9585	0.9559	0.9347
42	12:22:50	3	0.0063	0.013732861523134842	0.03023068979382515	0.9538	0.9588	0.9563	0.9355
43	12:23:41	4	0.0063	0.012464807049004727	0.03025088831782341	0.9535	0.9581	0.9558	0.9346
44	12:24:33	1	0.0031	0.01354918349642171	0.03051505610346794	0.9536	0.9585	0.9561	0.9352
45	12:25:24	2	0.0031	0.013536389705145502	0.03019207902252674	0.9541	0.9585	0.9563	0.9357
46	12:26:15	3	0.0031	0.012829230794113298	0.030417144298553467	0.9543	0.9585	0.9564	0.9358
47	12:27:07	4	0.0031	0.012614696100101068	0.030335180461406708	0.9538	0.9587	0.9562	0.9354
48	12:27:58	1	0.0016	0.013401206353312729	0.03038480505347252	0.954	0.9587	0.9563	0.9357
49	12:28:49	2	0.0016	0.012940595257299565	0.03038799576461315	0.9538	0.9583	0.9561	0.9355
50	12:29:42	3	0.0016	0.012390780883753855	0.030373413115739822	0.9541	0.9587	0.9564	0.9358
51	12:30:33	4	0.0016	0.012733297648203279	0.03032435104250908	0.954	0.9585	0.9562	0.9355
52	12:31:25	1	0.0008	0.013098062720205972	0.030366795137524605	0.954	0.9587	0.9563	0.9357
53	12:32:16	2	0.0008	0.01313145248657072	0.03044133633375168	0.9535	0.9585	0.956	0.935
54	12:33:06	3	0.0008	0.012397133621716846	0.030491583049297333	0.9538	0.9587	0.9562	0.9354
55	12:33:59	4	0.0008	0.012849468137272875	0.030510714277625084	0.9536	0.9583	0.956	0.9349
56	12:34:50	1	0.0004	0.012685372249296686	0.030522648245096207	0.9533	0.9581	0.9557	0.9349
57	12:35:41	2	0.0004	0.012436451854328288	0.030526723712682724	0.9531	0.958	0.9556	0.9347
58	12:36:32	3	0.0004	0.012490544409617325	0.030517375096678734	0.9535	0.9581	0.9558	0.9349
59	12:37:23	4	0.0004	0.01328969032189026	0.030506975948810577	0.9533	0.958	0.9556	0.9345
60	12:38:16	1	0.0002	0.0125121774933457	0.030500438064336777	0.9535	0.9581	0.9558	0.9347
