EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:31:13	0	0.1000	0.21358346280124987	0.07266761362552643	0.8729	0.8857	0.8793	0.8406
2	21:33:35	0	0.1000	0.09345704604878842	0.05389465019106865	0.8982	0.9098	0.9039	0.8708
3	21:35:57	0	0.1000	0.07253129845887137	0.041639961302280426	0.9229	0.9246	0.9237	0.8945
4	21:38:23	0	0.1000	0.06057321206957867	0.040425315499305725	0.9225	0.9293	0.9259	0.8972
5	21:40:49	0	0.1000	0.05363942533860392	0.03743390738964081	0.9359	0.933	0.9344	0.9074
6	21:43:09	0	0.1000	0.0476838504564672	0.03384808078408241	0.9382	0.9379	0.9381	0.9121
7	21:45:32	1	0.1000	0.04364921082262321	0.03568205609917641	0.9347	0.9366	0.9356	0.9111
8	21:47:33	2	0.1000	0.04029062042096843	0.03395266458392143	0.9354	0.9389	0.9372	0.9128
9	21:49:41	0	0.1000	0.03773320599119115	0.03302508965134621	0.939	0.9433	0.9411	0.9179
10	21:52:06	0	0.1000	0.03682563448802837	0.034248385578393936	0.9413	0.945	0.9431	0.9188
11	21:54:31	0	0.1000	0.03325855242987322	0.03151080012321472	0.9438	0.9445	0.9441	0.9209
12	21:56:56	1	0.1000	0.031972856964535154	0.03271983563899994	0.945	0.9426	0.9438	0.9193
13	21:59:00	0	0.1000	0.031066153696741164	0.03080381266772747	0.9496	0.9478	0.9487	0.926
14	22:01:31	1	0.1000	0.0288685688236846	0.03255332261323929	0.9417	0.948	0.9448	0.921
15	22:03:36	2	0.1000	0.02800840297165782	0.033536236733198166	0.9407	0.9455	0.9431	0.9187
16	22:05:38	3	0.1000	0.026558503611057136	0.03136628121137619	0.9473	0.947	0.9471	0.9247
17	22:07:42	4	0.1000	0.025653537410726072	0.03404480591416359	0.9393	0.9428	0.941	0.9172
18	22:09:51	1	0.0500	0.021962761350422477	0.03131081163883209	0.9474	0.9497	0.9486	0.9261
19	22:11:55	0	0.0500	0.020270527055698744	0.03226052224636078	0.9472	0.9509	0.949	0.927
20	22:14:24	1	0.0500	0.020545103059908244	0.03197532147169113	0.9447	0.9463	0.9455	0.9232
21	22:16:29	2	0.0500	0.01907358672716335	0.03338870406150818	0.9482	0.9495	0.9489	0.9261
22	22:18:38	3	0.0500	0.018339436735580517	0.03345588222146034	0.9464	0.9487	0.9476	0.9259
23	22:20:42	0	0.0500	0.018355868164525557	0.032927948981523514	0.9501	0.951	0.9505	0.9281
24	22:23:07	1	0.0500	0.01733606694643442	0.033338651061058044	0.949	0.951	0.95	0.9285
25	22:25:13	2	0.0500	0.01663248719398779	0.03411898761987686	0.9499	0.9509	0.9504	0.9288
26	22:27:21	3	0.0500	0.016957971030350082	0.03526976704597473	0.9488	0.9515	0.9502	0.9276
27	22:29:24	4	0.0500	0.01596135736549639	0.03400544077157974	0.9499	0.9502	0.95	0.9286
28	22:31:26	1	0.0250	0.01463088780776897	0.033985886722803116	0.9479	0.9519	0.9499	0.9277
29	22:33:32	2	0.0250	0.014355686435403804	0.03422101214528084	0.9491	0.9509	0.95	0.9281
30	22:35:37	3	0.0250	0.013805554007252209	0.03519740700721741	0.9489	0.9504	0.9496	0.9279
31	22:37:37	4	0.0250	0.013209873533946091	0.036140888929367065	0.9475	0.9514	0.9494	0.9287
32	22:39:37	0	0.0125	0.013748072052035518	0.03488316014409065	0.949	0.9527	0.9509	0.9293
33	22:42:02	1	0.0125	0.01279984326459974	0.03531935065984726	0.9483	0.9515	0.9499	0.9281
34	22:43:59	2	0.0125	0.012416335049687267	0.035515911877155304	0.9478	0.9512	0.9495	0.9281
35	22:46:00	0	0.0125	0.012332307767748464	0.03518274798989296	0.9503	0.9524	0.9513	0.9298
36	22:48:22	1	0.0125	0.011738654370420204	0.036877673119306564	0.9481	0.9509	0.9495	0.9276
37	22:50:23	2	0.0125	0.011722070179788284	0.03627832233905792	0.9495	0.9517	0.9506	0.9292
38	22:52:19	3	0.0125	0.012212355233477907	0.036824651062488556	0.9493	0.9522	0.9508	0.9294
39	22:54:19	4	0.0125	0.012494540679215124	0.0368676595389843	0.949	0.9517	0.9503	0.929
40	22:56:22	1	0.0063	0.011801967525653271	0.03669874742627144	0.9485	0.9514	0.9499	0.9287
41	22:58:19	2	0.0063	0.011695015846351684	0.037038642913103104	0.9475	0.951	0.9493	0.9273
42	23:00:18	3	0.0063	0.011306201549721485	0.0368783101439476	0.949	0.9517	0.9503	0.929
43	23:02:18	4	0.0063	0.011032913278794356	0.037351030856370926	0.9498	0.952	0.9509	0.9298
44	23:04:13	1	0.0031	0.011644556751654104	0.03701293095946312	0.9488	0.9512	0.95	0.9284
45	23:06:15	2	0.0031	0.011020103972659324	0.03717147931456566	0.9483	0.9505	0.9494	0.9273
46	23:08:15	3	0.0031	0.011326786187028577	0.03715593367815018	0.9488	0.9514	0.9501	0.9285
