EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	05:57:35	0	0.1000	0.5744676229925851	0.41661885380744934	0.2007	0.1341	0.1608	0.1077
2	06:00:09	0	0.1000	0.3706120643035426	0.3158146142959595	0.4803	0.1859	0.268	0.1752
3	06:02:35	0	0.1000	0.31738793782072106	0.26917797327041626	0.5439	0.3191	0.4022	0.2913
4	06:05:04	0	0.1000	0.2858707118672717	0.2536752223968506	0.5299	0.3756	0.4396	0.3332
5	06:07:49	1	0.1000	0.26333704506826383	0.2465192973613739	0.6578	0.3264	0.4363	0.3067
6	06:10:01	0	0.1000	0.24917905228813705	0.2295396476984024	0.5742	0.4046	0.4747	0.364
7	06:12:48	0	0.1000	0.23604420611219945	0.21813201904296875	0.5719	0.4508	0.5042	0.3962
8	06:15:27	1	0.1000	0.22363446450706134	0.2146652489900589	0.6106	0.4227	0.4996	0.383
9	06:17:30	0	0.1000	0.2144526056959464	0.2073541134595871	0.5641	0.4816	0.5196	0.4168
10	06:20:09	1	0.1000	0.2053017839452201	0.20935893058776855	0.6406	0.4215	0.5085	0.3877
11	06:22:25	0	0.1000	0.1994523637579975	0.19994524121284485	0.6117	0.4722	0.533	0.4182
12	06:25:00	0	0.1000	0.18982839078958053	0.1988607496023178	0.6324	0.4614	0.5335	0.4176
13	06:27:27	0	0.1000	0.18474095752282457	0.19139790534973145	0.6139	0.5111	0.5578	0.4399
14	06:29:55	0	0.1000	0.1769328361434823	0.1935737133026123	0.5818	0.5363	0.5581	0.4495
15	06:32:18	1	0.1000	0.1738020083187876	0.20445320010185242	0.6054	0.459	0.5221	0.4053
16	06:34:11	2	0.1000	0.16770209966497654	0.18884208798408508	0.6122	0.5102	0.5566	0.4457
17	06:36:06	0	0.1000	0.16160251000713524	0.18897567689418793	0.6537	0.4912	0.5609	0.4439
18	06:38:28	0	0.1000	0.1577003338886263	0.18477337062358856	0.604	0.5474	0.5743	0.4665
19	06:40:48	1	0.1000	0.152881924714613	0.18254078924655914	0.6404	0.5187	0.5732	0.4598
20	06:42:39	2	0.1000	0.14881227927617413	0.18376708030700684	0.6152	0.5348	0.5722	0.4636
21	06:44:34	3	0.1000	0.1451504568193369	0.18885238468647003	0.6398	0.4982	0.5602	0.4446
22	06:46:35	4	0.1000	0.1417414056996874	0.18384073674678802	0.598	0.5404	0.5677	0.4593
23	06:48:31	0	0.0500	0.1277021881284399	0.17961952090263367	0.6418	0.5392	0.5861	0.4735
24	06:51:00	0	0.0500	0.12416137207016993	0.17895817756652832	0.6471	0.5544	0.5972	0.4875
25	06:53:23	1	0.0500	0.12343646709461407	0.18453411757946014	0.6369	0.5501	0.5903	0.4813
26	06:55:20	2	0.0500	0.11995154661506996	0.18382009863853455	0.6429	0.5454	0.5901	0.4782
27	06:57:15	3	0.0500	0.11744753517837656	0.17926596105098724	0.6387	0.5366	0.5832	0.4705
28	06:59:10	4	0.0500	0.115082381439855	0.18342150747776031	0.6383	0.5363	0.5829	0.4724
29	07:01:01	1	0.0250	0.10789120183025416	0.17941249907016754	0.6366	0.5574	0.5943	0.4861
30	07:02:53	2	0.0250	0.10764445755658468	0.18020832538604736	0.6326	0.5539	0.5906	0.4819
31	07:04:48	3	0.0250	0.10356495710299023	0.18302161991596222	0.6496	0.5486	0.5948	0.4821
32	07:06:46	4	0.0250	0.10440064100297636	0.18331633508205414	0.6384	0.5468	0.5891	0.4797
33	07:08:40	1	0.0125	0.10320212859203005	0.18303152918815613	0.6517	0.5495	0.5963	0.4854
34	07:10:53	0	0.0125	0.10090270406218521	0.18170107901096344	0.6383	0.5662	0.6001	0.4919
35	07:13:25	1	0.0125	0.10081039482619475	0.18206463754177094	0.6475	0.5527	0.5963	0.4867
36	07:15:24	2	0.0125	0.09667243613351394	0.18401247262954712	0.6578	0.5504	0.5993	0.4877
37	07:17:35	3	0.0125	0.09938847296408289	0.1812092661857605	0.6431	0.5577	0.5974	0.4875
38	07:19:43	4	0.0125	0.09498235627944886	0.185589998960495	0.654	0.5427	0.5932	0.4809
39	07:21:36	1	0.0063	0.09590771190684856	0.1840633898973465	0.6481	0.5509	0.5956	0.4844
40	07:23:40	2	0.0063	0.09381845938647387	0.1852206289768219	0.6532	0.5524	0.5986	0.4875
41	07:25:46	0	0.0063	0.09293485480700622	0.1840612292289734	0.6492	0.5585	0.6005	0.4907
42	07:28:27	1	0.0063	0.09356340161448601	0.1836336851119995	0.6495	0.5533	0.5975	0.487
43	07:30:31	2	0.0063	0.09392178913127482	0.1831890046596527	0.639	0.5632	0.5987	0.4913
44	07:32:28	3	0.0063	0.0939799461953953	0.18415838479995728	0.6476	0.5536	0.5969	0.486
45	07:34:34	4	0.0063	0.0928890120565792	0.18516112864017487	0.6495	0.5451	0.5927	0.4808
46	07:36:42	1	0.0031	0.09260170361383727	0.18478946387767792	0.6488	0.5565	0.5991	0.4889
47	07:38:41	2	0.0031	0.0936040637990799	0.1841687113046646	0.6467	0.5524	0.5958	0.4857
48	07:40:30	3	0.0031	0.09289161748734909	0.184238001704216	0.6483	0.558	0.5997	0.4895
49	07:42:31	4	0.0031	0.09249628168317871	0.18474611639976501	0.6512	0.5498	0.5962	0.4856
50	07:44:30	1	0.0016	0.08968633529046925	0.18447574973106384	0.6492	0.5527	0.5971	0.4867
51	07:46:34	2	0.0016	0.09113650879006048	0.18464435636997223	0.6469	0.5518	0.5956	0.4851
52	07:48:32	3	0.0016	0.09103781428837339	0.18440791964530945	0.6477	0.5521	0.5961	0.486
53	07:50:38	4	0.0016	0.09103565081850018	0.1852715015411377	0.6505	0.5492	0.5956	0.4848
54	07:52:45	1	0.0008	0.09076025037056283	0.18472513556480408	0.647	0.5521	0.5958	0.4861
55	07:55:07	2	0.0008	0.09045728439379618	0.1847815364599228	0.6467	0.5518	0.5955	0.4857
56	07:57:04	3	0.0008	0.08961582292434633	0.18496666848659515	0.6496	0.5542	0.5981	0.4878
57	07:59:40	4	0.0008	0.09332249550169348	0.18471603095531464	0.6502	0.5556	0.5992	0.4889
58	08:02:46	1	0.0004	0.0902881577205037	0.18505364656448364	0.6496	0.553	0.5974	0.4871
59	08:05:41	2	0.0004	0.09067684985442093	0.1848709136247635	0.6505	0.553	0.5978	0.4874
60	08:08:26	3	0.0004	0.0901760564775842	0.18487991392612457	0.6507	0.553	0.5979	0.4875
61	08:11:19	4	0.0004	0.0903176960344645	0.18507808446884155	0.6518	0.5536	0.5987	0.4883
62	08:14:07	1	0.0002	0.08991236799340857	0.18509380519390106	0.6521	0.5536	0.5988	0.4883
63	08:17:02	2	0.0002	0.08846066901588368	0.18502864241600037	0.6522	0.5539	0.599	0.4886
64	08:19:44	3	0.0002	0.08865409106379019	0.18484611809253693	0.6505	0.5536	0.5981	0.488
65	08:22:13	4	0.0002	0.09027016563496836	0.18501687049865723	0.6517	0.5539	0.5988	0.4885
