EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:31:18	0	0.1000	0.3401227053778034	0.4145171046257019	0.8488	0.0874	0.1585	0.0864
2	23:32:01	0	0.1000	0.19967933045455225	0.2817946970462799	0.5891	0.376	0.4591	0.3118
3	23:32:42	1	0.1000	0.16832331580331256	0.30004507303237915	0.8589	0.2479	0.3848	0.2401
4	23:33:09	0	0.1000	0.14726885335403217	0.24184904992580414	0.7018	0.3832	0.4957	0.3415
5	23:33:51	1	0.1000	0.13361760070596454	0.264666348695755	0.8119	0.3257	0.465	0.3094
6	23:34:17	2	0.1000	0.12347037803227871	0.27179181575775146	0.791	0.3174	0.453	0.3005
7	23:34:44	3	0.1000	0.11518329004342145	0.22901354730129242	0.6989	0.3641	0.4787	0.3304
8	23:35:13	4	0.1000	0.10710644569196295	0.211685910820961	0.7163	0.3689	0.487	0.3348
9	23:35:40	1	0.0500	0.09558204080468252	0.2212560921907425	0.7562	0.3677	0.4948	0.3385
10	23:36:05	2	0.0500	0.08826654702686301	0.23268501460552216	0.794	0.3461	0.4821	0.3258
11	23:36:33	0	0.0500	0.08568335858026836	0.20640939474105835	0.7124	0.3916	0.5054	0.3531
12	23:37:14	1	0.0500	0.08416109527485728	0.20788152515888214	0.7182	0.3784	0.4957	0.3446
13	23:37:40	2	0.0500	0.0801580413570249	0.23275747895240784	0.7533	0.3437	0.472	0.3214
14	23:38:07	3	0.0500	0.0765906172317123	0.2115061730146408	0.7237	0.3701	0.4897	0.3418
15	23:38:35	4	0.0500	0.07436713071677477	0.2182849645614624	0.7271	0.3605	0.482	0.3297
16	23:39:03	1	0.0250	0.0693973341190357	0.22460946440696716	0.757	0.3545	0.4829	0.3289
17	23:39:29	2	0.0250	0.06757211294467609	0.2000432312488556	0.7018	0.3832	0.4957	0.3459
18	23:39:57	3	0.0250	0.06635207631229575	0.21111151576042175	0.7073	0.382	0.4961	0.3479
19	23:40:24	4	0.0250	0.06330717948185054	0.20424304902553558	0.7275	0.3868	0.5051	0.3515
20	23:40:50	1	0.0125	0.05995121595108127	0.21679478883743286	0.7243	0.3713	0.4909	0.3392
21	23:41:17	2	0.0125	0.06064789533501091	0.20358134806156158	0.7162	0.3868	0.5023	0.3507
22	23:41:44	3	0.0125	0.05919903086718999	0.2126007080078125	0.729	0.3737	0.4941	0.3421
23	23:42:12	4	0.0125	0.057475310924158474	0.22377923130989075	0.7281	0.3689	0.4897	0.3373
24	23:42:38	1	0.0063	0.0575114192564332	0.2070228010416031	0.7121	0.388	0.5023	0.3503
25	23:43:05	2	0.0063	0.05633613225206241	0.21426576375961304	0.7338	0.3796	0.5004	0.3464
26	23:43:32	3	0.0063	0.0557582301233025	0.21672601997852325	0.7258	0.3772	0.4965	0.3443
27	23:43:59	4	0.0063	0.05384729945752755	0.2137303203344345	0.7188	0.3796	0.4969	0.3457
28	23:44:27	1	0.0031	0.053715926951319146	0.213797464966774	0.7191	0.3832	0.5	0.349
29	23:44:54	2	0.0031	0.05357965694058365	0.21034035086631775	0.7013	0.388	0.4996	0.3491
30	23:45:21	3	0.0031	0.05193714231238418	0.21214932203292847	0.7105	0.382	0.4969	0.346
31	23:45:48	4	0.0031	0.0526519483496047	0.21397478878498077	0.7171	0.3856	0.5016	0.35
32	23:46:15	1	0.0016	0.05414135940675813	0.21305333077907562	0.719	0.3892	0.5051	0.3533
33	23:46:42	2	0.0016	0.053703846407719594	0.21513007581233978	0.7217	0.382	0.4996	0.3479
34	23:47:10	3	0.0016	0.0546448746347815	0.21290680766105652	0.7188	0.3856	0.5019	0.35
35	23:47:39	4	0.0016	0.05095969002041238	0.21653835475444794	0.7264	0.3784	0.4976	0.3457
36	23:48:06	1	0.0008	0.051183100778977114	0.21381406486034393	0.7178	0.3808	0.4977	0.346
37	23:48:34	2	0.0008	0.051552951641864186	0.21486970782279968	0.7201	0.382	0.4992	0.3475
38	23:49:01	3	0.0008	0.05201651623198505	0.21363477408885956	0.7197	0.3844	0.5012	0.3493
39	23:49:29	4	0.0008	0.05195699649508558	0.2143709808588028	0.7201	0.382	0.4992	0.3475
40	23:49:56	1	0.0004	0.05218642855230253	0.21398532390594482	0.7175	0.3832	0.4996	0.3482
41	23:50:24	2	0.0004	0.05187658634973298	0.21373611688613892	0.7175	0.3832	0.4996	0.3482
42	23:50:51	3	0.0004	0.05306700419604294	0.21394017338752747	0.7175	0.3832	0.4996	0.3482
43	23:51:17	4	0.0004	0.05347670669592151	0.21362708508968353	0.7181	0.3844	0.5008	0.3493
44	23:51:45	1	0.0002	0.05349100466533158	0.21383734047412872	0.7175	0.3832	0.4996	0.3482
45	23:52:11	2	0.0002	0.052291552925079456	0.21391379833221436	0.7191	0.3832	0.5	0.3482
46	23:52:38	3	0.0002	0.051044870696150664	0.21427108347415924	0.7191	0.3832	0.5	0.3482
47	23:53:05	4	0.0002	0.05083597196301984	0.21460983157157898	0.7205	0.3796	0.4973	0.3453
