EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:59:57	0	0.1000	0.3120499749606887	0.09225715696811676	0.8639	0.8568	0.8603	0.798
2	20:00:49	0	0.1000	0.1508277561473594	0.0710286796092987	0.884	0.8706	0.8772	0.827
3	20:01:31	0	0.1000	0.12686091094476765	0.05832222104072571	0.8999	0.8899	0.8949	0.8504
4	20:02:10	0	0.1000	0.11905507368154443	0.05448829382658005	0.9018	0.8899	0.8958	0.8545
5	20:03:04	0	0.1000	0.11190010354282613	0.05153289809823036	0.911	0.8965	0.9037	0.8644
6	20:03:42	1	0.1000	0.10894641515295111	0.05326368287205696	0.9005	0.8875	0.8939	0.8535
7	20:04:19	0	0.1000	0.10678070913769999	0.04954994097352028	0.9097	0.8997	0.9047	0.8668
8	20:05:12	0	0.1000	0.10397143424720721	0.04561212286353111	0.9084	0.9038	0.9061	0.8684
9	20:05:52	0	0.1000	0.10123855690846398	0.046131692826747894	0.9124	0.9066	0.9095	0.8758
10	20:06:34	1	0.1000	0.10013674414663044	0.043818920850753784	0.9108	0.9049	0.9079	0.8721
11	20:07:19	0	0.1000	0.09804679778374109	0.046544674783945084	0.9128	0.9082	0.9105	0.8758
12	20:08:02	0	0.1000	0.0977531922084589	0.04521689563989639	0.92	0.9055	0.9126	0.8776
13	20:08:39	0	0.1000	0.09666948707704871	0.04340634122490883	0.9192	0.9136	0.9164	0.8823
14	20:09:24	1	0.1000	0.09663540272238894	0.04835128039121628	0.9186	0.899	0.9087	0.87
15	20:10:08	2	0.1000	0.09473549547833045	0.04488292336463928	0.9157	0.9072	0.9114	0.8768
16	20:10:43	3	0.1000	0.0944373392756102	0.046018511056900024	0.916	0.9072	0.9116	0.8778
17	20:11:19	4	0.1000	0.09325849673153004	0.0473417304456234	0.9148	0.9046	0.9097	0.874
18	20:11:53	0	0.0500	0.08583707500409783	0.041770562529563904	0.9206	0.9141	0.9174	0.8852
19	20:12:33	1	0.0500	0.08223326062258943	0.041528310626745224	0.9164	0.9138	0.9151	0.8829
20	20:13:09	0	0.0500	0.08240210644426704	0.041441984474658966	0.9214	0.9139	0.9177	0.8854
21	20:13:46	0	0.0500	0.08292902446654091	0.04045223817229271	0.9242	0.9168	0.9205	0.8879
22	20:14:24	1	0.0500	0.0815990400465144	0.04051096364855766	0.9186	0.9163	0.9175	0.8861
23	20:14:59	2	0.0500	0.08081584460256297	0.040697552263736725	0.9163	0.9124	0.9143	0.8805
24	20:15:33	3	0.0500	0.08109117844795348	0.04036719352006912	0.9213	0.9158	0.9185	0.8859
25	20:16:09	4	0.0500	0.08090676048181952	0.03972681611776352	0.9217	0.9178	0.9198	0.8873
26	20:16:44	0	0.0250	0.07729887315150721	0.0382252112030983	0.9244	0.9175	0.9209	0.8895
27	20:17:21	1	0.0250	0.07609348736924364	0.03883848711848259	0.9236	0.9182	0.9209	0.8895
28	20:17:58	0	0.0250	0.07654730116691598	0.03812246024608612	0.9242	0.9193	0.9218	0.8907
29	20:18:34	1	0.0250	0.07466079577725451	0.03882246091961861	0.9238	0.9177	0.9207	0.8893
30	20:19:10	2	0.0250	0.07402004762269207	0.03876296058297157	0.925	0.9177	0.9213	0.8895
31	20:19:45	3	0.0250	0.07543757821398368	0.03839211165904999	0.9244	0.9182	0.9213	0.89
32	20:20:20	4	0.0250	0.07366516193540808	0.03814559429883957	0.9216	0.9156	0.9186	0.8872
33	20:20:56	1	0.0125	0.07203859965118396	0.038693349808454514	0.9225	0.9158	0.9191	0.8862
34	20:21:31	2	0.0125	0.07190398557532496	0.03845500200986862	0.9235	0.9148	0.9191	0.8867
35	20:22:05	3	0.0125	0.07186551946649813	0.038030944764614105	0.9243	0.9161	0.9202	0.8883
36	20:22:43	4	0.0125	0.07069098557773096	0.03790655732154846	0.9219	0.9158	0.9188	0.8865
37	20:23:48	1	0.0063	0.07140815157270448	0.03758828341960907	0.9229	0.9168	0.9198	0.8887
38	20:24:57	2	0.0063	0.06992507249305852	0.037668704986572266	0.9226	0.9168	0.9197	0.8884
39	20:25:32	3	0.0063	0.07088644833317141	0.037804435938596725	0.9248	0.9183	0.9215	0.89
40	20:26:07	4	0.0063	0.07017200280902008	0.037600867450237274	0.9241	0.9175	0.9208	0.8895
41	20:26:44	1	0.0031	0.06939813179522174	0.03764482960104942	0.9244	0.9173	0.9208	0.8897
42	20:27:19	2	0.0031	0.07062094016721905	0.03764615207910538	0.9233	0.9163	0.9198	0.8885
43	20:28:30	3	0.0031	0.06924700394232085	0.0375065878033638	0.9238	0.918	0.9209	0.8895
44	20:29:49	4	0.0031	0.06968289867477709	0.037620216608047485	0.9242	0.9173	0.9207	0.8893
45	20:30:27	1	0.0016	0.07066188746000698	0.03748105466365814	0.9236	0.9177	0.9206	0.889
46	20:31:10	2	0.0016	0.06959479754894637	0.03759551793336868	0.9241	0.9175	0.9208	0.8887
47	20:32:10	3	0.0016	0.07066689100197765	0.0376100167632103	0.924	0.917	0.9205	0.8887
48	20:32:55	4	0.0016	0.07012144048083879	0.03764712065458298	0.9237	0.9163	0.92	0.888
49	20:33:33	1	0.0008	0.06957338226996687	0.037557028234004974	0.9247	0.9171	0.9209	0.889
50	20:34:15	2	0.0008	0.07022744277012544	0.03751860558986664	0.9245	0.9175	0.921	0.8893
51	20:35:21	3	0.0008	0.0686358664925489	0.03759842738509178	0.9245	0.917	0.9207	0.8888
52	20:35:57	4	0.0008	0.07029999144343602	0.0374477356672287	0.9242	0.9175	0.9208	0.889
53	20:36:33	1	0.0004	0.07000277806675197	0.03750649094581604	0.9242	0.9168	0.9205	0.8885
54	20:37:09	2	0.0004	0.069949745892391	0.037577368319034576	0.924	0.9166	0.9203	0.8882
55	20:37:49	3	0.0004	0.07016851673958746	0.03758779540657997	0.9242	0.9168	0.9205	0.8884
56	20:38:24	4	0.0004	0.07046561136792896	0.03753265365958214	0.9247	0.9173	0.921	0.889
57	20:39:09	1	0.0002	0.06919873124926675	0.037532661110162735	0.9243	0.917	0.9206	0.8885
58	20:40:17	2	0.0002	0.0699640034509247	0.03748646751046181	0.9242	0.9168	0.9205	0.8884
59	20:41:53	3	0.0002	0.0700888198934365	0.03748275339603424	0.924	0.9166	0.9203	0.8882
60	20:43:48	4	0.0002	0.07006955521258011	0.037510111927986145	0.9242	0.9168	0.9205	0.8884
