EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:33:54	0	0.1000	0.28240079719903616	0.09080971032381058	0.8487	0.8551	0.8519	0.7911
2	21:35:42	0	0.1000	0.14971071197123834	0.06913422793149948	0.8951	0.8678	0.8813	0.8295
3	21:37:30	0	0.1000	0.12691324465211887	0.059671465307474136	0.8885	0.89	0.8893	0.8467
4	21:39:17	0	0.1000	0.11985279342025626	0.05518314614892006	0.9101	0.8904	0.9001	0.8563
5	21:41:05	0	0.1000	0.11311608597366633	0.05137460306286812	0.9027	0.9009	0.9018	0.8661
6	21:42:58	0	0.1000	0.10901261347520005	0.049131594598293304	0.9057	0.898	0.9018	0.8646
7	21:44:45	1	0.1000	0.10542260940658348	0.04958679899573326	0.9045	0.899	0.9018	0.8629
8	21:46:08	0	0.1000	0.1028682836271628	0.04856047034263611	0.9136	0.9014	0.9075	0.8703
9	21:47:55	1	0.1000	0.10293035798059132	0.048490073531866074	0.913	0.8997	0.9063	0.8684
10	21:49:22	2	0.1000	0.10184779617493138	0.048156846314668655	0.9041	0.899	0.9015	0.8663
11	21:50:45	3	0.1000	0.10027452086678815	0.0524749830365181	0.9174	0.8919	0.9045	0.8617
12	21:52:07	0	0.1000	0.09845297141721905	0.04545486345887184	0.9063	0.9099	0.9081	0.8746
13	21:53:55	1	0.1000	0.09767290162059528	0.04791480302810669	0.9143	0.9004	0.9073	0.869
14	21:55:18	2	0.1000	0.09649622847148642	0.04658263176679611	0.9058	0.906	0.9059	0.8721
15	21:56:45	0	0.1000	0.09655411739338457	0.04635392129421234	0.9184	0.911	0.9147	0.8809
16	21:58:33	1	0.1000	0.09633993476732257	0.04576626792550087	0.9163	0.9112	0.9138	0.8798
17	21:59:55	2	0.1000	0.09475271697162482	0.04400497302412987	0.918	0.9105	0.9143	0.8811
18	22:01:19	0	0.1000	0.09300113953535089	0.04332446679472923	0.9239	0.9131	0.9184	0.8843
19	22:03:07	1	0.1000	0.09362019553037636	0.043296270072460175	0.917	0.9136	0.9153	0.8828
20	22:04:34	2	0.1000	0.09328251045099986	0.04162374883890152	0.9174	0.9129	0.9152	0.8827
21	22:05:56	3	0.1000	0.09247670866429153	0.04480297490954399	0.9112	0.9072	0.9092	0.8768
22	22:07:18	0	0.1000	0.09169521687118401	0.04253402352333069	0.921	0.92	0.9205	0.8881
23	22:09:06	1	0.1000	0.09126516527325094	0.042428940534591675	0.92	0.9134	0.9167	0.8852
24	22:10:31	2	0.1000	0.09109778858935887	0.0442880354821682	0.9206	0.9131	0.9168	0.8834
25	22:11:58	3	0.1000	0.09187422850574323	0.04617789387702942	0.911	0.9055	0.9082	0.8741
26	22:13:21	4	0.1000	0.09036422637223532	0.043108996003866196	0.9163	0.9148	0.9156	0.8846
27	22:14:48	0	0.0500	0.08195482499888485	0.04057813063263893	0.9251	0.9171	0.9211	0.8885
28	22:16:37	1	0.0500	0.08082051755869563	0.04120942950248718	0.9236	0.9136	0.9186	0.8848
29	22:18:05	2	0.0500	0.07905296757526263	0.04099210351705551	0.92	0.9163	0.9182	0.8866
30	22:19:27	3	0.0500	0.07855371732007423	0.04153411462903023	0.9241	0.9155	0.9197	0.8875
31	22:20:50	4	0.0500	0.07686057719628532	0.04050828143954277	0.9183	0.9141	0.9162	0.8838
32	22:22:12	1	0.0250	0.07433937922080541	0.03940244019031525	0.9219	0.9182	0.92	0.89
33	22:23:34	2	0.0250	0.07425365723890277	0.03939679265022278	0.9209	0.9151	0.918	0.8854
34	22:25:02	0	0.0250	0.07279699578675629	0.03833913058042526	0.9221	0.9202	0.9211	0.8909
35	22:26:50	1	0.0250	0.0729284788447596	0.038785334676504135	0.9233	0.918	0.9206	0.8892
36	22:28:12	0	0.0250	0.07261646130913099	0.037513453513383865	0.9239	0.9214	0.9226	0.8925
37	22:30:01	0	0.0250	0.07243775997174826	0.03828490525484085	0.9259	0.9212	0.9236	0.8934
38	22:31:48	1	0.0250	0.0718237749486568	0.0388914979994297	0.9272	0.9195	0.9234	0.8917
39	22:33:15	2	0.0250	0.07160848122001288	0.03831880912184715	0.9229	0.9188	0.9209	0.8896
40	22:34:38	0	0.0250	0.07217783715497246	0.03740234673023224	0.9278	0.9236	0.9257	0.8955
41	22:36:25	1	0.0250	0.07187410634413176	0.03771806135773659	0.9227	0.918	0.9203	0.8894
42	22:37:47	2	0.0250	0.0716406960341844	0.037725839763879776	0.9226	0.9204	0.9215	0.8905
43	22:39:09	3	0.0250	0.07221760293158842	0.03706958144903183	0.9237	0.9236	0.9237	0.8939
44	22:40:36	4	0.0250	0.07097032882067672	0.038698792457580566	0.9253	0.9177	0.9215	0.8905
45	22:41:59	1	0.0125	0.07144841203462679	0.0373736135661602	0.9258	0.9195	0.9226	0.8923
46	22:43:21	2	0.0125	0.06816151937594865	0.0370960496366024	0.9264	0.9219	0.9242	0.8936
47	22:44:44	3	0.0125	0.07081290312854407	0.037036146968603134	0.9269	0.9232	0.925	0.8952
48	22:46:11	4	0.0125	0.06854508547321904	0.037072982639074326	0.9261	0.9216	0.9238	0.8941
49	22:47:33	1	0.0063	0.06807493989973334	0.03705107048153877	0.9257	0.9207	0.9232	0.8929
50	22:48:56	2	0.0063	0.0681856980899748	0.03736325725913048	0.9269	0.9212	0.924	0.8935
