EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:34:03	0	0.1000	0.6282450319460742	0.4174961745738983	0.3219	0.2014	0.2478	0.2391
2	14:36:10	0	0.1000	0.40238687504733256	0.33413222432136536	0.4479	0.3636	0.4014	0.354
3	14:38:16	0	0.1000	0.34596401024026247	0.28878650069236755	0.5323	0.4201	0.4696	0.4127
4	14:40:20	0	0.1000	0.3124346414682044	0.2682816684246063	0.5644	0.4271	0.4863	0.4205
5	14:42:21	0	0.1000	0.29030517820490653	0.2576960623264313	0.5942	0.4321	0.5003	0.4293
6	14:44:14	0	0.1000	0.2706738677232707	0.2395898550748825	0.5928	0.4757	0.5279	0.4643
7	14:46:10	0	0.1000	0.25817648687621353	0.23208582401275635	0.5908	0.5	0.5416	0.4798
8	14:48:13	0	0.1000	0.24679308539916311	0.22190424799919128	0.602	0.5053	0.5494	0.4884
9	14:50:17	0	0.1000	0.23643461084459128	0.21586497128009796	0.5898	0.5366	0.5619	0.4978
10	14:52:21	1	0.1000	0.2283756570532853	0.21390797197818756	0.6224	0.5067	0.5587	0.4935
11	14:54:25	2	0.1000	0.21933369846907028	0.21698950231075287	0.657	0.4821	0.5561	0.4816
12	14:56:24	0	0.1000	0.21174220475786018	0.2145514339208603	0.5951	0.5433	0.568	0.5155
13	14:58:25	0	0.1000	0.20385083523195932	0.2075856626033783	0.6416	0.5319	0.5816	0.5171
14	15:00:28	0	0.1000	0.19797834753729124	0.2023008018732071	0.6502	0.5334	0.586	0.5251
15	15:02:34	1	0.1000	0.1956484045382712	0.20303893089294434	0.6286	0.541	0.5815	0.5154
16	15:04:39	0	0.1000	0.18678921638793286	0.1968705803155899	0.627	0.5609	0.5921	0.5358
17	15:06:45	1	0.1000	0.18371596466263157	0.20004382729530334	0.6069	0.5492	0.5766	0.5184
18	15:08:46	2	0.1000	0.17859415467935652	0.20201390981674194	0.6493	0.5138	0.5736	0.513
19	15:10:46	3	0.1000	0.1752612135031543	0.1975313276052475	0.6083	0.5764	0.5919	0.5345
20	15:12:49	0	0.1000	0.1704814741254991	0.19502900540828705	0.6133	0.579	0.5957	0.5376
21	15:14:55	1	0.1000	0.1641573023944358	0.19748154282569885	0.6221	0.558	0.5883	0.5238
22	15:17:00	0	0.1000	0.16474539908726807	0.19522622227668762	0.6139	0.591	0.6022	0.5432
23	15:19:04	1	0.1000	0.16009354679778515	0.196331188082695	0.6293	0.5606	0.593	0.5331
24	15:21:05	2	0.1000	0.15476819600059036	0.19466495513916016	0.6241	0.5632	0.5921	0.5348
25	15:23:09	3	0.1000	0.15214169189360455	0.19284555315971375	0.6097	0.594	0.6017	0.5421
26	15:25:15	4	0.1000	0.1511788480024052	0.19423669576644897	0.6347	0.5565	0.593	0.5323
27	15:27:17	0	0.0500	0.13979159184221163	0.19094187021255493	0.6408	0.5703	0.6035	0.543
28	15:29:13	0	0.0500	0.1358768091455453	0.1919986456632614	0.6577	0.5653	0.608	0.5446
29	15:31:03	0	0.0500	0.13206104351073664	0.18792596459388733	0.6307	0.5925	0.611	0.5507
30	15:32:55	1	0.0500	0.13094423862056193	0.18924318253993988	0.6393	0.5826	0.6096	0.5492
31	15:34:50	2	0.0500	0.12676406018754655	0.190261110663414	0.6442	0.5723	0.6061	0.5437
32	15:36:46	0	0.0500	0.12546834311083901	0.19214016199111938	0.6476	0.5831	0.6137	0.5486
33	15:38:35	0	0.0500	0.1246356050227972	0.19349397718906403	0.6634	0.5741	0.6155	0.5499
34	15:40:34	1	0.0500	0.1212440683857786	0.1889248788356781	0.6471	0.5749	0.6089	0.5451
35	15:42:25	2	0.0500	0.12028605576873595	0.18848416209220886	0.6553	0.5744	0.6122	0.5514
36	15:44:10	3	0.0500	0.11746400535017902	0.19294583797454834	0.6311	0.5855	0.6074	0.544
37	15:46:00	4	0.0500	0.11935812857047377	0.191933736205101	0.6448	0.5782	0.6097	0.5445
38	15:47:52	1	0.0250	0.11168890409551191	0.19215983152389526	0.6465	0.5767	0.6096	0.5462
39	15:49:37	0	0.0250	0.11084746044706598	0.18954028189182281	0.6506	0.5869	0.6171	0.5527
40	15:51:25	1	0.0250	0.11006624288129306	0.19147080183029175	0.6397	0.5837	0.6104	0.5471
